ポケモン,H,A,B,C,D,S,合計
ゴリランダー,100,125,90,60,70,85,530
ジュナイパー,78,107,75,100,100,70,530
マルヤクデ,100,115,65,90,90,65,525
パルシェン,50,95,180,85,45,70,525
シャワーズ,130,65,60,110,95,65,525
サンダース,65,65,60,110,95,130,525
ブースター,65,130,60,95,110,65,525
エーフィ,65,65,60,130,95,110,525
ブラッキー,95,65,110,60,130,65,525
フシギバナ,80,82,83,100,100,80,525
ルカリオ,70,110,70,115,70,90,525
ニンフィア,95,65,65,110,130,60,525
カバルドン,108,112,118,68,72,47,525
リーフィア,65,110,130,60,65,95,525
グレイシア,65,60,110,130,95,65,525
ヨノワール,45,100,135,65,135,45,525
レントラー,80,120,79,95,79,70,523
アマルルガ,123,77,72,99,92,58,521
ウォッシュロトム,50,65,107,105,107,86,520
フロストロトム,50,65,107,105,107,86,520
ギギギアル,60,100,115,70,85,90,520
シャンデラ,60,55,90,145,90,80,520
タチフサグマ,93,90,101,60,81,95,520
バリコオル,80,85,75,110,100,70,520
フライゴン,80,100,80,80,80,100,520
スピンロトム,50,65,107,105,107,86,520
カットロトム,50,65,107,105,107,86,520
スターミー,60,75,85,100,85,115,520
ヒートロトム,50,65,107,105,107,86,520
ワルビアル,95,117,80,65,70,92,519
サーナイト,68,65,65,125,115,80,518
エルレイド,68,125,65,65,115,80,518
ダダリン,70,131,100,86,90,40,517
ベロベルト,110,85,95,80,95,50,515
ドククラゲ,80,70,65,80,120,100,515
ギガイアス,85,135,130,60,80,25,515
ロズレイド,60,70,65,125,105,90,515
フリージオ,80,50,50,95,135,105,515
クレベース,95,117,184,44,46,28,514
ニョロボン,90,95,95,70,90,70,510
セキタンザン,110,80,120,80,90,30,510
サダイジャ,72,107,125,65,70,71,510
ブリムオン,57,90,95,136,103,29,510
オーロンゲ,95,120,65,95,75,60,510
サニゴーン,60,95,50,145,130,30,510
ウォーグル,100,123,75,57,75,80,510
バルジーナ,110,65,105,55,95,80,510
ハガネール,75,85,200,55,65,30,510
マニューラ,70,120,65,45,85,125,510
コジョンド,65,125,60,95,60,105,510
アマージョ,72,120,98,50,98,72,510
ゾロアーク,60,105,60,120,60,105,510
ガマゲロゲ,105,95,75,85,75,74,509
ポットデス,60,65,65,134,114,70,508
ドリュウズ,110,135,60,50,65,88,508
ネギガナイト,62,135,95,68,82,65,507
イオルブ,60,45,110,80,120,90,505
ポリゴン2,85,80,90,105,85,60,505
キュウコン,73,76,75,81,100,100,505
アローラキュウコン,73,67,75,81,100,109,505
カイリキー,90,130,80,65,85,55,505
ツンベアー,95,130,80,70,80,50,505
パッチラゴン,90,100,90,80,70,75,505
パッチルドン,90,100,90,90,80,55,505
ウオノラゴン,90,90,100,70,80,75,505
ウオチルドン,90,90,100,80,90,55,505
ツボツボ,20,10,230,10,230,5,505
ローブシン,105,140,95,55,65,45,505
ストリンダー（ローなすがた）,75,98,70,114,70,75,502
ムーランド,85,110,90,45,90,80,500
クワガノン,77,70,90,145,75,43,500
ハッサム,70,130,100,55,80,65,500
ニョロトノ,90,75,75,90,100,70,500
ヘラクロス,80,125,75,40,95,85,500
バンバドロ,100,125,100,55,85,35,500
カイロス,65,125,100,55,70,85,500
フーディン,55,50,45,135,95,120,500
キテルグマ,120,125,80,55,60,60,500
ゴルダック,80,82,78,95,80,85,500
ギャロップ,65,100,70,80,80,105,500
ガラルギャロップ,65,100,70,80,80,105,500
ゲンガー,60,65,60,130,75,110,500
ダイオウドウ,122,130,69,80,69,30,500
ホエルオー,170,90,45,90,45,60,500
ネンドール,60,70,105,70,120,75,500
ストライク,70,110,80,55,80,105,500
ドータクン,67,89,116,79,116,33,500
ギルガルド,60,50,140,50,140,60,500
ガメノデス,72,105,115,54,86,68,500
ルチャブル,78,92,75,74,63,118,500
ドラピオン,70,90,110,60,75,95,500
ブロスター,71,73,88,120,89,59,500
ファイアロー,78,81,71,74,69,126,499
フワライド,150,80,44,90,54,80,498
アーマーガア,98,87,105,53,85,67,495
ドヒドイデ,50,63,152,53,142,35,495
マホイップ,65,60,75,110,121,64,495
アギルダー,80,70,40,100,60,145,495
ブーバー,65,95,57,100,85,93,495
シュバルゴ,70,135,105,60,105,20,495
ゴロンダ,95,124,78,69,71,58,495
ユキノオー,90,92,75,92,85,60,494
ドラミドロ,65,75,90,97,123,44,494
パンプジン,65,90,122,58,75,84,494
バクオング,104,91,63,91,73,68,490
ミルタンク,95,80,105,40,70,100,490
バイウールー,72,80,100,60,90,88,490
パルスワン,69,90,60,90,60,121,490
ラフレシア,75,80,85,110,90,50,490
カマスジョー,61,123,60,60,50,136,490
ヤドラン,95,75,110,100,80,30,490
ヤドキング,95,75,80,100,110,30,490
マタドガス,65,90,120,85,70,60,490
ガラルマタドガス,65,90,120,85,70,60,490
キリキザン,65,125,100,60,70,70,490
キレイハナ,75,80,95,90,100,50,490
ドクロッグ,83,106,65,86,65,85,490
シンボラー,72,58,80,103,80,97,490
バッフロン,95,110,95,40,95,55,490
ゴチルゼル,70,55,95,95,110,65,490
ガルーラ,105,95,80,40,80,90,490
ケンタロス,75,100,95,40,70,110,490
ランクルス,110,65,75,125,85,30,490
ガラルヤドラン,95,100,95,100,70,30,490
ヤレユータン,90,60,80,90,110,60,490
ナゲツケサル,100,120,90,40,60,80,490
チルタリス,75,70,90,70,105,80,490
ナットレイ,74,94,131,54,116,20,489
ケンホロウ,80,115,80,65,55,93,488
ズルズキン,65,90,115,45,115,58,488
ルガルガン（たそがれのすがた）,75,117,65,55,65,110,487
ルガルガン（まひるのすがた）,75,115,65,55,65,112,487
ムシャーナ,116,55,85,107,95,29,487
ルガルガン（まよなかのすがた）,85,115,75,55,75,82,487
ペンドラー,60,100,89,55,69,112,485
ライチュウ,60,90,55,90,80,110,485
アローラライチュウ,60,85,50,95,85,110,485
カジリガメ,90,115,90,48,68,74,485
アップリュー,70,110,80,95,60,70,485
タルップル,110,85,80,100,80,30,485
オーベム,75,75,75,125,95,40,485
サイドン,105,130,120,45,45,40,485
マンタイン,85,40,70,80,140,70,485
ジーランス,100,90,130,45,65,55,485
イワパレス,70,105,125,65,75,45,485
クリムガン,77,120,90,60,90,48,485
バクガメス,60,78,135,91,85,36,485
ジジーロン,78,60,85,135,91,36,485
キュワワー,51,52,90,82,110,100,485
クイタラン,85,97,66,105,66,65,484
アイアント,58,109,112,48,48,109,484
ピクシー,95,70,73,95,90,60,483
デスバーン,58,95,145,50,105,30,483
ゴルーグ,89,124,80,55,80,55,483
デスカーン,58,50,145,95,105,30,483
カラマネロ,86,92,88,68,75,73,482
エレザード,62,55,52,109,94,109,481
ミミロップ,65,76,84,54,96,105,480
エンニュート,68,64,60,111,60,117,480
オトスパス,80,118,90,70,80,42,480
オクタン,75,105,75,105,75,45,480
ルンパッパ,80,70,70,90,100,70,480
ダーテング,90,100,60,90,60,80,480
オニゴーリ,80,80,80,80,80,80,480
エルフーン,60,67,85,77,75,116,480
ヒヒダルマ,105,140,55,30,55,95,480
ガラルヒヒダルマ,105,140,55,30,55,95,480
ブルンゲル,100,60,70,85,105,60,480
ペロリーム,82,80,86,85,75,72,480
シロデスナ,85,75,110,100,75,35,480
ラランテス,70,105,90,80,90,45,480
ユキメノコ,70,80,70,80,70,110,480
ドレディア,70,60,75,110,75,90,480
スカタンク,103,93,67,71,61,84,479
ミミッキュ,55,90,80,50,105,96,476
ウッウ,70,85,55,85,95,85,475
キングラー,55,130,115,50,50,75,475
モスノウ,70,65,60,125,90,65,475
イエッサン（メスのすがた）,70,55,65,95,105,85,475
ライボルト,70,75,60,105,60,105,475
トリトドン,111,83,68,92,82,39,475
ビークイン,70,80,102,80,102,40,474
ダストダス,80,95,82,60,82,75,474
オーロット,85,110,76,65,82,56,474
デンチュラ,70,77,60,97,60,108,472
マッギョ,109,66,84,81,99,32,471
ガラルマッギョ,109,81,99,66,84,32,471
タイレーツ,65,100,100,70,60,75,470
イシヘンジン,100,125,135,20,20,70,470
コオリッポ（アイスフェイス）,75,80,110,65,90,50,470
ネイティオ,65,75,70,95,70,95,470
コータス,70,85,140,85,70,20,470
チラチーノ,75,95,60,65,60,115,470
クレッフィ,57,80,91,80,87,75,470
ナマズン,110,78,73,76,71,60,468
シザリガー,63,120,85,90,55,55,468
ニャオニクス,74,48,76,83,81,104,466
ニャオニクス（オス）,74,48,76,83,81,104,466
ナゲキ,120,100,85,30,85,45,465
ダゲキ,75,125,75,30,75,85,465
アブソル,65,130,60,75,60,75,465
レアコイル,50,60,95,120,70,70,465
エアームド,65,80,140,40,70,70,465
アブリボン,60,55,60,95,70,124,464
モロバレル,114,85,70,85,80,30,464
フレフワン,101,72,72,99,89,29,462
マラカッチ,75,86,67,106,67,60,461
ヨクバリス,120,95,95,55,75,20,460
サメハダー,70,120,40,95,40,95,460
ワタシラガ,60,50,90,80,120,60,460
バリヤード,40,45,65,100,120,90,460
ガラルバリヤード,50,65,65,90,90,100,460
ランターン,125,58,58,76,76,67,460
ルナトーン,90,55,65,95,85,70,460
ソルロック,90,95,85,55,65,70,460
バスラオ,70,92,65,80,55,98,460
テッカニン,61,90,45,50,50,160,456
フォクスライ,70,58,58,87,92,90,455
サワムラー,50,120,53,35,110,87,455
エビワラー,50,105,79,35,110,76,455
カポエラー,50,95,95,35,110,70,455
サマヨール,40,70,130,60,130,25,455
オニシズクモ,68,70,92,50,132,42,454
ヨルノズク,100,50,50,86,96,70,452
ヌメイル,68,75,53,83,113,60,452
サンドパン,75,100,110,45,55,65,450
アズマオウ,80,92,65,65,80,68,450
ラッキー,250,5,5,35,105,50,450
チェリム（ポジ）,70,60,70,87,78,85,450
アローラサンドパン,75,100,120,25,65,65,450
ニダンギル,59,110,150,45,49,35,448
レパルダス,64,88,50,88,50,106,446
ペルシアン,65,70,60,65,65,115,440
アローラペルシアン,65,60,60,75,65,115,440
ギギアル,60,80,95,70,85,50,440
ニャイキング,70,110,100,50,60,50,440
ハリーセン,65,95,85,55,55,85,440
ペリッパー,60,50,100,95,70,65,440
シードラ,55,65,95,95,45,85,440
ロトム,50,50,77,95,77,91,440
モルペコ（まんぷくもよう）,58,95,58,70,58,97,436
モンジャラ,65,55,115,100,40,60,435
プクリン,140,70,45,85,50,45,435
バチンウニ,48,101,95,91,85,15,435
トゲデマル,65,98,63,40,73,96,435
デデンネ,67,58,57,81,67,101,431
ヌオー,95,85,85,65,65,35,430
ニューラ,55,95,55,35,75,115,430
コドラ,60,90,140,50,50,40,430
エモンガ,55,75,60,75,60,103,428
ガラガラ,60,80,110,50,80,45,425
アローラダグトリオ,35,100,60,50,70,110,425
ダグトリオ,35,100,50,50,70,120,425
ココロモリ,67,57,55,77,55,114,425
ガラガラ（アローラのすがた）,60,80,110,50,80,45,425
ホルード,85,56,77,50,77,78,423
ニャヒート,65,85,50,80,50,90,420
ジメレオン,65,60,55,95,55,90,420
オシャマリ,60,69,69,91,81,50,420
ジヘッド,72,85,70,65,70,58,420
マッスグマ,78,70,61,50,61,100,420
ガラルマッスグマ,78,70,61,50,61,100,420
ジャランゴ,55,75,90,65,70,65,420
マリルリ,100,50,80,60,80,50,420
バチンキー,70,85,70,55,60,80,420
フクスロー,78,75,75,70,70,52,420
ラビフット,65,86,60,55,60,94,420
ノコッチ,100,70,70,65,65,45,415
サニーゴ,65,55,95,65,95,35,415
ガラルサニーゴ,60,55,100,65,100,30,415
トロッゴン,80,60,90,60,70,50,410
ポニータ,50,85,55,65,65,90,410
ガラルポニータ,50,85,55,65,65,90,410
オノンド,66,117,70,40,50,67,410
ウソッキー,70,100,115,30,65,30,410
ドロンチ,68,80,50,60,50,102,410
サナギラス,70,84,70,65,70,51,410
トドグラー,90,60,70,75,70,45,410
ナマコブシ,55,60,130,30,130,5,410
マシェード,60,45,80,90,100,30,405
ゴーリキー,80,100,70,50,60,45,405
ゴースト,45,50,45,115,55,95,405
トゲチック,55,40,85,80,105,40,405
ソーナンス,190,33,58,33,58,33,405
イノムー,100,100,80,60,60,50,405
ドテッコツ,85,105,85,40,50,40,405
フシギソウ,60,62,63,80,80,60,405
リザード,58,64,58,80,65,80,405
カメール,59,63,80,65,80,58,405
デンヂムシ,57,82,95,55,75,36,400
ユンゲラー,40,35,30,120,70,105,400
コスモウム,43,29,131,29,131,37,400
ロゼリア,50,60,45,100,80,65,400
ホエルコ,130,70,35,70,35,60,400
バタフリー,60,45,50,90,80,70,395
ポリゴン,65,60,70,85,75,40,395
クサイハナ,60,65,70,85,75,40,395
バニリッチ,51,65,65,80,75,59,395
ガントル,70,105,105,50,40,20,390
ゴチミル,60,45,70,75,85,55,390
ゴンベ,135,85,40,40,85,5,390
ドロバンコ,70,100,70,45,55,45,385
ベロリンガ,90,55,75,60,75,30,385
イワーク,35,45,160,30,45,70,385
ニョロゾ,65,65,65,50,50,90,385
ダクマ,60,90,60,53,50,72,385
ガマガル,75,65,55,65,55,69,384
ヒノヤコマ,62,73,55,56,52,84,382
ヤミラミ,50,75,75,65,65,50,380
クチート,50,85,85,55,55,50,380
ガラルカモネギ,52,95,55,58,62,55,377
カモネギ,52,90,55,58,62,60,377
ハーデリア,65,80,65,35,65,60,370
ランプラー,60,40,60,95,60,55,370
テブリム,57,40,65,86,73,49,370
ギモー,65,60,45,75,55,70,370
バルチャイ,70,55,75,45,65,60,370
ダブラン,65,40,50,125,60,30,370
アオガラス,68,67,55,43,55,77,365
ニドリーノ,61,72,57,55,55,65,365
ブビィ,45,75,37,70,55,83,365
ルクシオ,60,85,49,60,49,60,363
ホイーガ,40,55,99,40,79,47,360
エレキッド,45,63,37,65,55,95,360
ドゴーム,84,71,43,71,43,48,360
メラルバ,55,85,55,50,55,60,360
ハトーボー,62,77,62,50,42,65,358
ニャスパー,62,48,54,63,60,68,355
ワルビル,60,82,45,45,45,74,351
コジョフー,45,85,50,55,50,65,350
ミミロル,55,66,44,44,56,85,350
ガーディ,55,70,45,70,50,60,350
ワシボン,70,83,50,37,50,60,350
フワンテ,90,50,34,60,44,70,348
ズルッグ,50,75,70,35,70,48,348
ヤンチャム,67,82,62,46,48,43,348
サイホーン,80,85,95,30,30,25,345
タマンタ,45,20,50,60,120,50,345
シュシュプ,78,52,60,63,65,23,341
ペロッパフ,62,48,66,59,57,49,341
ヌイコグマ,70,75,50,45,50,50,340
ドガース,40,65,95,60,45,35,340
コマタナ,45,85,70,40,40,60,340
ハスブレロ,60,50,50,60,70,50,340
コノハナ,70,70,40,60,40,60,340
ビブラーバ,50,70,50,50,50,70,340
ヒトデマン,30,45,55,70,55,85,340
レドームシ,50,35,80,50,90,30,335
メノクラゲ,40,40,35,50,100,70,335
リグレー,55,55,55,85,55,30,335
プルリル,55,40,50,65,85,40,335
バケッチャ,49,66,70,44,55,51,335
ユキカブリ,60,62,50,62,60,40,334
チョンチー,75,38,38,56,56,67,330
ゾウドウ,72,80,49,40,49,40,330
デリバード,45,55,45,65,45,75,330
ゾロア,40,65,40,80,40,65,330
ヒポポタス,68,72,78,38,42,32,330
スコルピ,40,50,90,30,55,65,330
ココドラ,50,70,100,40,40,30,330
ウデッポウ,50,53,62,58,63,44,330
スカンプー,63,63,47,41,41,74,329
ヤブクロン,50,50,62,40,62,65,329
モグリュー,60,85,40,30,45,68,328
タマタマ,60,40,80,60,45,40,325
クラブ,30,105,90,25,25,50,325
イーブイ,55,55,50,45,65,55,325
カラナクシ,76,48,48,57,62,34,325
イシズマイ,50,65,85,35,35,55,325
ヒトツキ,45,80,100,35,37,28,325
コイル,25,35,70,95,55,45,325
ピッピ,70,45,48,60,65,35,323
コロモリ,65,45,43,55,43,72,323
ニャビー,45,65,40,60,40,70,320
アシマリ,50,54,54,66,56,40,320
ピカチュウ,35,55,40,50,50,90,320
ガラガラ,50,50,95,40,50,35,320
ヤトウモリ,48,44,40,71,40,77,320
ナゾノクサ,45,50,55,75,65,30,320
コダック,50,52,48,65,50,55,320
キバゴ,46,87,60,30,40,57,320
トサキント,45,67,60,35,50,63,320
ネイティ,40,50,45,70,45,70,320
スナバァ,55,55,80,70,45,15,320
モクロー,68,55,55,50,50,42,320
クズモー,50,60,60,60,60,30,320
バチュル,50,47,50,57,50,65,319
フシギダネ,45,49,49,65,65,45,318
ガラルヤドン,90,65,65,40,40,15,315
スナヘビ,52,57,75,35,50,46,315
ヤドン,90,65,65,40,40,15,315
ダルマッカ,70,90,45,15,45,50,315
ガラルダルマッカ,70,90,45,15,45,50,315
カブルモ,50,75,45,40,45,60,315
ゼニガメ,44,48,65,50,64,43,314
メッソン,50,40,40,70,40,70,310
ケーシィ,25,20,15,105,55,90,310
タタッコ,50,68,60,50,50,32,310
ゴース,30,35,30,100,35,80,310
チルット,45,40,60,40,75,50,310
マネネ,20,25,45,70,90,60,310
サルノリ,50,65,50,40,40,65,310
ヒバニー,50,71,40,40,40,69,310
ヒトカゲ,39,52,43,60,50,65,309
ボクレー,43,70,48,50,60,38,309
ヤバチャ,40,45,45,74,54,50,308
ヘイガニ,43,80,65,50,35,35,308
カメテテ,42,52,67,39,56,50,306
テッシード,44,50,91,24,86,10,305
キバニア,45,90,20,65,20,65,305
ヒドイデ,50,53,62,43,52,45,305
ワンリキー,70,80,50,35,35,35,305
ヤクデ,50,65,45,50,50,45,305
シェルダー,30,65,100,45,25,40,305
クマシュン,55,70,40,60,40,40,305
チョボマキ,50,40,85,40,65,25,305
ドッコラー,75,80,55,25,35,35,305
バニプッチ,36,50,50,65,60,44,305
アブリー,40,45,40,55,40,84,304
カチコール,55,69,85,32,35,28,304
ゴビット,59,74,50,35,50,35,303
デスマス,38,30,85,55,65,30,303
ガラルデスマス,38,55,85,30,65,30,303
ギアル,40,55,70,45,60,30,300
アゴジムシ,47,62,45,55,45,46,300
ニョロモ,40,50,40,40,40,90,300
サンド,50,75,85,20,30,40,300
モノズ,52,65,50,45,50,38,300
テッポウオ,35,65,35,65,35,65,300
ヨーギラス,50,64,50,45,50,41,300
ジャラコ,45,55,65,45,45,45,300
グレッグル,48,61,40,61,40,50,300
ヤジロン,40,40,55,40,70,55,300
ユキワラシ,50,50,50,50,50,50,300
ダンバル,40,55,80,35,60,30,300
チラーミィ,55,50,40,40,40,75,300
ドーミラー,57,24,86,24,86,23,300
ヌメラ,45,50,35,55,75,40,300
アローラサンド,50,75,90,10,35,40,300
メルタン,46,65,65,55,35,34,300
ロコン,38,41,40,50,65,65,299
アローラロコン,38,41,40,50,65,65,299
ラクライ,40,45,40,65,40,65,295
ヨマワル,20,40,90,30,90,25,295
タッツー,30,40,70,70,25,60,295
オタマロ,50,50,40,50,40,64,294
タマゲタケ,69,55,45,55,55,15,294
ムンナ,76,25,45,67,55,24,292
メグロコ,50,72,35,35,35,65,292
ニャース,40,45,35,40,40,90,290
アローラニャース,40,35,35,50,40,90,290
ガラルニャース,50,65,55,40,40,40,290
ナックラー,45,100,45,45,45,10,290
ゴチム,45,30,50,55,65,45,290
ユニラン,45,30,40,105,50,20,290
ウソハチ,50,80,95,10,45,10,290
アママイコ,52,40,48,40,48,62,290
エリキテル,44,38,33,61,43,70,289
メタモン,48,48,48,48,48,48,288
ドジョッチ,50,48,43,46,41,60,288
マーイーカ,53,54,53,37,46,45,288
ネマシュ,40,35,55,65,75,15,285
リオル,40,70,40,35,40,60,285
カムカメ,50,64,50,38,38,44,284
チョロネコ,41,50,37,50,37,66,281
サシカマス,41,63,40,40,30,66,280
ダンゴロ,55,75,85,25,25,15,280
スボミー,40,30,35,50,70,55,280
モンメン,40,27,60,37,50,66,280
イワンコ,45,65,40,30,40,60,280
チュリネ,45,35,50,70,50,30,280
ヤヤコマ,45,50,43,40,38,62,278
キルリア,38,35,35,65,55,50,278
ホシガリス,70,55,55,35,35,25,275
ヨーテリー,45,60,45,25,45,55,275
ヒトモシ,50,30,55,65,55,20,275
チェリンボ,45,35,45,62,53,35,275
ウールー,42,40,55,40,45,48,270
ワンパチ,59,45,50,40,50,26,270
プリン,115,45,20,45,25,20,270
マホミル,45,40,40,50,61,34,270
ドラメシヤ,28,60,30,40,30,82,270
キャモメ,40,30,30,55,30,85,270
シズクモ,38,40,52,40,72,27,269
ツチニン,31,45,90,30,30,40,266
ディグダ,10,55,25,35,45,95,265
ミブリム,42,30,45,56,53,39,265
ベロバー,45,45,30,55,40,50,265
アローラディグダ,10,55,30,35,45,90,265
マメパト,50,55,50,36,30,43,264
コリンク,45,65,34,40,34,45,263
ホーホー,60,30,30,36,56,50,262
フシデ,30,45,59,30,39,57,260
カジッチュ,40,40,80,40,40,20,260
ソーナノ,95,23,48,23,48,23,260
ヒメンカ,40,40,60,40,60,10,250
ウリムー,50,50,40,30,30,50,250
マリル,70,20,50,20,50,40,250
カリキリ,40,55,35,50,35,35,250
ココガラ,38,47,35,33,35,57,245
クスネ,40,28,28,47,52,50,245
トゲピー,35,20,65,40,65,20,245
オンバット,40,30,35,45,40,55,245
ミツハニー,30,30,42,30,42,70,244
エレズン,40,38,35,54,35,40,242
ゴニョニョ,64,51,23,51,23,28,240
タンドン,30,40,50,40,50,30,240
ジグザグマ,38,30,41,30,41,60,240
ガラルジグザグマ,38,30,41,30,41,60,240
ホルビー,38,36,38,32,36,57,237
ヌケニン,1,90,45,30,30,40,236
コソクムシ,25,35,40,20,30,80,230
バルキー,35,35,35,35,35,35,228
ハスボー,40,30,30,40,50,30,220
タネボー,40,40,50,30,30,30,220
ピンプク,100,5,5,15,65,30,220
ピィ,50,25,28,45,55,15,218
ププリン,90,30,15,40,20,15,210
ウパー,55,45,45,25,25,15,210
アマカジ,42,30,38,30,38,32,210
トランセル,50,20,55,25,25,30,205
ピチュー,20,40,15,35,35,60,205
コイキング,20,10,55,15,20,80,200
コスモッグ,43,29,31,29,31,37,200
ヒンバス,20,15,20,10,55,80,200
ラルトス,28,25,25,45,35,40,198
キャタピー,45,30,35,20,20,45,195
ルリリ,50,20,40,20,40,20,190
ユキハミ,30,25,35,45,30,20,185
サッチムシ,25,20,20,25,45,45,180
ヨワシ,45,20,20,25,25,40,175
ニャース（キョダイマックスのすがた）,-,-,-,-,-,-,0
